Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
S.O.L,1,204,77,30,90
The Princess & Her Knights,1,10,40,12,75
Adventurer,1,6,67,11,91
GuberMan,3,91,92,14,86
GuberMan,4,94,92,10,100
Young Hamilton,1,566,92,28,100
Love's lies,1,8,50,8,88
Screw,1,709,78,74,68
Screw,2,222,72,6,83
Pass Time,1,59,85,12,75
The Real West,1,59,93,29,72
The Real West,2,29,91,12,100
The Real West,3,24,89,9,89
Michelle's,1,244,60,16,81
Sets,1,51,92,8,100
Mom Coms,1,167,84,40,70
Mom Coms,2,86,90,8,88
Mom Coms,3,52,86,11,100
Candice,1,8,20,8,100
Candice,11,97,47,47,45
"Marina, Marina",1,27,53,9,44
TeenAged,1,648,95,24,92
The Nice Girls,1,9,33,13,69
Homeroom,1,820,72,96,98
Homeroom,2,149,58,45,58
E4 Comedy,1,144,100,8,75
Pushback,1,891,85,89,93
Pushback,2,563,82,37,99
Pushback,3,60,83,17,88
Javani,1,55,70,8,88
The Confession,1,51,92,17,100
Fantasy Patrol,1,1627,80,51,96
Fantasy Patrol,2,147,69,25,96
Crime Scene,1,45,95,12,92
Crime Scene,12,15,83,10,70
Crime Scene,16,11,86,5,100
Floaters,1,92,100,11,100
Floaters,2,9,89,9,100
Our Place,1,141,90,30,93
Trying,1,35,94,14,86
Yaya and Paya,1,92,77,13,38
Shusha,1,21,100,16,94
Palomino & Swissy,1,13,77,6,67
Celia,1,13,100,6,100
Sinif,1,39,83,8,25
The Savages,1,628,81,58,93
The Itch,1,19741,92,88,67
The Mark Side,1,372,85,26,62
F o R,1,64,91,14,86
Beta,1,60,72,7,14
Nameless,1,827,87,41,83
Nameless,2,682,95,14,100
"La vie, la vie",1,357,84,32,75
Penny Dreadfuls,1,228,46,32,75
Jame' Salem,1,25,65,10,80
Jame' Salem,4,25,69,6,100
Problems,1,13,80,9,100
The Jump,1,771,87,57,98
The Jump,2,172,87,28,96
The Jump,3,171,65,23,96
The Jump,4,40,72,19,100
Breaking Hate,1,64,86,14,21
Moms,1,74,68,12,75
Bogan Hunters,1,85,59,14,0
On the Line,1,5,80,20,55
Mom & Me (and Everyone Online),1,167,84,40,70
Mom & Me (and Everyone Online),2,86,90,8,88
Mom & Me (and Everyone Online),3,52,86,11,100
Crime Story,1,1574,94,93,97
Crime Story,2,1042,94,97,89
By Night,1,117,73,34,94
Dasha,1,50,76,21,90
The Queen and I,1,444,90,21,52
Food Revolution,1,56,86,14,64
The Realty,1,109,71,16,81
Nipsey Comedy,1,10,80,27,48
Mila,1,119,71,46,9
The Virgo,1,1349,87,51,100
The Virgo,2,377,91,12,100
The Virgo,3,218,88,14,100
The Virgo,4,235,88,20,100
The Virgo,5,218,71,22,100
Mariana,1,95,84,5,80
Eyes Down,1,99,87,19,37
Udaan,1,146,71,6,83
Doris,1,14,62,16,88
Doris,9,9,100,11,64
Laure,1,13,92,13,100
Survey,1,1752,93,26,92
Survey,2,175,73,5,60
Bumerang,1,38,70,12,100
Mike,1,153,93,11,82
The Crossing,1,326,86,20,60
The Bartons,1,232,50,21,57
Çat kapi,1,58,84,10,100
Çat kapi,2,37,88,5,100
Çat kapi,5,24,67,5,100
Boj,1,1750,90,26,69
Boj,2,1219,98,22,100
Boj,3,1545,96,31,100
Boj,4,980,98,35,97
Boj,5,1013,94,47,98
Boj,6,657,95,52,96
Couples,1,18,83,9,100
Tower Records Live!,1,8,50,8,88
Laps,1,99,63,17,24
Block-D,1,22,83,5,100
Mr. Jack,1,605,91,29,83
Mr. Jack,2,109,73,10,100
HELL. A.,1,7,86,5,80
Kiko,1,111,95,9,100
Kiko,2,29,93,9,100
Kiko,3,15,100,6,100
In the City,1,15,75,13,92
Extra Ordinary,1,343,88,33,76
"Evil, I",1,103,86,15,67
Deserted,1,1906,80,59,93
Deserted,2,1158,83,41,88
John Macnab,1,25,92,7,100
John Macnab,4,11,90,5,100
Split,1,145,88,21,38
Moynihan,1,105,89,24,63
The Hiddens,1,5,100,5,100
The Damien & Shayne Show,1,68,84,17,59
The Damien & Shayne Show,2,148,97,35,86
The Bounder,1,66,88,21,95
The Bounder,2,37,97,12,92
The Bounder,3,36,97,14,93
The Bounder,4,36,100,11,82
The Bounder,5,33,97,12,100
The Bounder,6,34,94,17,76
The Bounder,7,42,100,33,97
Date of Honor,1,77,85,24,46
Uncut,1,92,89,9,100
Uncut,3,62,97,9,100
Uncut,4,46,80,5,100
iJane,1,375,83,52,67
Hollywood Hell,1,811,76,126,57
Secret Lives,1,205,76,34,35
L.A.,1,13,92,13,100
Cult,1,16,43,25,36
Little Rosey,1,441,57,77,78
Jeet,1,85,91,17,94
The Kings,1,8,88,28,57
RIFK,1,56,92,34,82
RIFK,2,27,96,9,89
RIFK,3,21,95,5,80
RIFK,4,19,68,12,75
RIFK,5,17,88,7,100
The Shak,1,85,32,40,68
Mysteries of the Missing,1,211,74,51,24
Dhana,1,578,93,53,98
Teppan,1,8,100,5,60
Recovery,1,52,73,6,100
Ev,1,67,91,17,94
Post Grad.,1,30,70,27,59
La crim',1,60,37,16,25
Why? With Hannibal Buress,1,11,27,5,40
Fair Game,1,65,91,37,89
Golden Girl,1,15,85,14,86
Golden Girl,2,12,80,5,100
Leeds,1,89,61,31,52
MyTV,1,195,86,36,89
Soul!,1,6,100,10,100
The Duncan's,1,465,89,27,93
Honourablez,1,488,88,32,91
Red Band,1,274,86,51,59
Thari,1,102,82,9,67
Ages,1,10,60,16,81
Hagen,1,63,85,26,35
Hagen,3,33,97,5,60
Hagen,4,63,87,5,80
Hagen,5,82,81,5,80
Hood Adjacent with James Davis,1,14,25,5,100
Danish & O'neill,1,480,87,22,59
The Oz Kids,1,9,100,15,100
The Oz Kids,2,8,100,7,100
The Oz Kids,3,8,100,5,100
Heily,1,39,62,12,75
Natacha,1,449,92,24,42
Berks,1,80,92,11,55
The Station,1,43,79,29,55
N.U.T.S.,1,22,67,18,89
N.U.T.S.,2,11,82,5,100
N.U.T.S.,5,7,71,5,80
N.U.T.S.,6,6,67,8,100
N.U.T.S.,9,14,38,10,20
N.U.T.S.,10,419,70,79,70
Roseanne's Nuts,1,22,67,18,89
Roseanne's Nuts,2,11,82,5,100
Roseanne's Nuts,5,7,71,5,80
Roseanne's Nuts,6,6,67,8,100
Roseanne's Nuts,9,14,38,10,20
Roseanne's Nuts,10,419,70,79,70
High & Mighty,1,213,79,71,86
Marie,1,42,73,36,81
Malicia,1,834,79,46,74
Malicia,2,397,90,22,91
Malicia,3,509,88,13,100
Malicia,4,145,77,29,93
Malicia,5,205,66,10,100
Dragons,1,43,49,5,100
Half Price Hits,1,617,85,52,98
Laura,1,211,74,51,24
Cowboys,1,142,96,22,100
The Trader,1,25,80,11,91
Body & Soul,1,16,50,19,53
Body & Soul,3,9,86,5,100
Merlina,1,189,82,22,55
Merlina,3,110,90,7,86
Merlina,4,115,86,6,100
Merlina,5,26,96,10,100
Consultant,1,77,79,47,72
The Travel Show,1,27,93,9,100
Julie & Brandy: In Your Box Office,1,349,99,24,92
The Scrawl,7,6,17,5,60
The Scrawl,9,5,40,5,100
The Scrawl,10,14,33,6,83
The Scrawl,11,7,67,6,50
The Scrawl,12,7,29,7,57
The Scrawl,13,12,50,13,31
The Scrawl,14,9,29,8,63
The Scrawl,15,26,32,9,89
Recorded Lives,1,8,50,8,88
Adam Smith,1,13,92,8,88
Montaña rusa,1,49,85,32,72
Montaña rusa,2,70,81,5,100
Impostors,1,336,87,13,92
Channel K,1,19,44,6,100
90211,1,38,39,21,48
Ali-A,1,1173,88,80,99
Hitter,1,45,85,6,83
Elephant,1,396,91,42,93
Elephant,2,261,99,27,100
Elephant,3,266,97,28,96
Elephant,4,223,98,25,100
Elephant,5,344,95,28,96
Elephant,6,608,88,25,100
Braf,1,92,76,15,40
Annie Marshall,1,16,94,21,95
Annie Marshall,2,36,97,6,100
Annie Marshall,4,35,76,6,67
Annie Marshall,5,35,88,14,93
The Bantu Hour,1,214,27,21,38
Alex Cross,1,698,87,19,68
Alex Cross,2,306,92,7,100
Alex Cross,3,265,91,7,100
The Burrowers,1,558,92,11,100
The Burrowers,2,131,95,6,100
The Burrowers,3,140,93,7,100
Floral Park,1,227,61,56,46
SOB,1,44,88,6,83
Spotless,1,112,94,7,100
Trainers,1,11,55,7,86
Saheli,1,232,90,15,60
Saheli,2,143,86,7,71
Here and Now,1,223,84,50,24
Rest in Power: The Trayvon Martin Story,1,74,27,11,100
Blind,1,510,74,63,68
Blind,2,158,78,6,100
Grime Town,1,137,88,20,95
The Madison Code,1,10,62,7,57
Agent King,1,3073,79,72,88
Agent King,2,2473,90,33,91
Agent King,3,1941,91,22,100
Agent King,4,1415,94,25,96
Agent King,5,1230,92,23,100
Agent King,6,651,89,15,93
Agent King,7,252,92,14,100
Éternelle,1,1101,52,52,67
Vidiots,1,52,75,9,89
Off Their Rockers,1,82,59,27,96
Polar,1,12,92,23,91
Polar,2,16,94,10,80
Polar,3,185,89,17,100
Polar,4,56,95,16,81
Polar,5,36,47,21,86
Yasemin,1,108,53,29,59
Mosaicos,1,78,61,41,78
Patrons,1,45,93,12,50
Joke Doc,4,6,100,6,100
Joke Doc,6,5,100,8,88
Joke Doc,7,5,100,10,80
Joke Doc,8,5,100,6,83
Joke Doc,9,6,100,5,60
Comeback,1,68,84,17,59
Comeback,2,148,97,35,86
Vice News,1,9,62,6,67
L-Ever,1,51,84,23,70
L-Ever,3,22,86,6,100
L-Ever,4,21,85,8,100
L-Ever,5,46,93,8,100
Next Stop,1,16,69,14,64
The Keepers,1,538,94,31,97
Mikey & Tony,1,5,100,5,80
Freaks!,1,238,96,32,100
America First,1,866,80,55,93
America First,2,27,62,32,75
奈何BOSS又如何,1,82,90,37,76
奈何BOSS又如何,2,57,96,21,86
Andrea,1,61,79,34,85
Sukces,1,260,83,82,88
Sukces,2,423,91,70,97
In Between,1,88,97,9,67
The Guest,1,59,86,11,64
Zona,1,739,38,88,70
Zona,2,45,53,23,65
The Journey,1,13,56,5,100
Thamarai,1,572,50,6,33
Black Mercy,1,149,91,39,97
Naknadno,1,50,48,6,17
Blender,1,13,75,8,38
The League,1,111,82,28,61
The League,2,85,89,5,80
The League,3,73,85,10,80
The League,4,73,90,6,100
The League,5,97,83,7,71
The League,6,105,87,5,100
The League,7,55,50,16,81
Mahalasi,1,138,61,20,75
Work From Home,1,33,72,11,55
Scomparsa,1,29,79,20,85
So L.A.,1,204,77,30,90
The Baby,1,79,80,43,100
Cidiots,1,52,75,9,89
You & I,1,1906,80,59,93
You & I,2,1158,83,41,88
Majika,1,34,68,14,86
4,1,25,48,6,83
KINK'D,1,457,97,14,93
KINK'D,2,158,94,7,100
Same Girl,1,56,79,47,49
Sebeke,1,40,88,32,78
School,1,29,74,11,73
Firar,1,57,65,16,25
Margarita,1,891,85,89,93
Margarita,2,563,82,37,99
Margarita,3,60,83,17,88
Ada,1,22,71,5,100
The Gallery,1,33,94,9,100
Four,1,25,48,6,83
Suzuko's Love,1,887,86,46,87
Suzuko's Love,2,239,85,27,96
Suzuko's Love,3,159,87,11,100
Kalambur,1,60,91,12,75
Very News,1,855,88,45,82
Very News,2,691,89,21,90
Very News,3,454,93,21,95
Very News,4,440,94,17,100
Very News,5,495,90,21,100
As If,1,6,67,12,58
Wild Horses,1,1750,90,26,69
Wild Horses,2,1219,98,22,100
Wild Horses,3,1545,96,31,100
Wild Horses,4,980,98,35,97
Wild Horses,5,1013,94,47,98
Wild Horses,6,657,95,52,96
Soda,1,40,55,9,89
Conversations,1,166,75,25,56
City West,1,61,67,45,18
Stree,1,5,80,7,86
Bianca,1,29,79,20,85
Castleton,1,1214,91,25,80
Castleton,2,433,90,13,100
Castleton,3,281,83,16,100
Fallen Cards,1,37,81,32,97
Fallen Cards,2,207,85,30,87
Fallen Cards,3,43,88,12,92
Fallen Cards,4,26,85,12,92
Fallen Cards,5,26,77,6,100
The Genius,1,235,84,30,80
Donovan & Simms,1,310,91,43,77
Donovan & Simms,2,284,92,11,73
Donovan & Simms,3,231,93,13,77
Donovan & Simms,4,135,79,6,50
Donovan & Simms,5,195,67,5,100
Donovan & Simms,6,69,93,5,60
The J&T Sketch Show,1,72,72,6,83
Buck James,1,40,48,20,30
Goenkale,1,78,40,5,40
Innerview,1,83,70,12,75
Villette,1,345,87,29,59
Beim Bund,1,73,95,13,92
Beim Bund,2,38,92,8,100
Beim Bund,3,41,78,5,80
Beim Bund,4,8,50,5,100
Beim Bund,5,8,88,6,100
Detka,1,170,89,27,30
Tinpo,1,870,96,22,95
Tinpo,2,129,85,9,100
Tinpo,3,78,91,10,90
Getting In,1,27,88,10,90
Getting In,10,21,67,8,63
Getting In,11,15,60,6,100
Doei,1,244,79,27,48
Cartoon,1,243,49,25,32
The Burrow,1,558,92,11,100
The Burrow,2,131,95,6,100
The Burrow,3,140,93,7,100
Kiko Shorts,1,591,82,23,83
Ashens,1,338,72,32,66
Buckskin,1,80,92,11,55
Powder Park,1,74,27,11,100
María Laura,1,9,100,5,100
1941,1,48,85,5,40
Final Fantasy,1,19,71,6,100
Eyewitness,1,9,78,12,83
Bone,1,98,78,14,64
Bone,2,56,85,5,100
Bone,6,56,83,5,100
Bone,9,133,89,6,83
Bone,11,51,82,5,100
Bone,12,40,75,14,93
Artbound,1,19,67,13,92
Yamimash,1,92,89,9,100
Yamimash,3,62,97,9,100
Yamimash,4,46,80,5,100
Madam Chairman,1,141,90,30,93
Buster,1,52,67,8,100
Nancy,1,169,70,30,53
Brille,1,296,93,55,93
MotherLAND,1,21,82,22,82
Brides,1,7,57,5,80
Killer Friend,1,25,100,10,100
Deceduti,1,305,93,11,64
Jamel comedy club,1,35,86,8,100
Marcus Butler,1,642,72,28,57
Marcus Butler,2,412,90,5,100
(7),1,15,100,11,100
Simon Says,1,40,88,32,78
Brown Eye,1,21,86,5,100
Elisa,1,3576,91,125,94
Elisa,2,1355,81,100,89
Elisa,3,641,61,56,81
Extra/Ordinary,1,343,88,33,76
The Bad,1,803,87,49,63
The Bad,2,422,88,9,100
The Bad,3,375,92,8,88
Medici miei,1,88,83,6,50
Great News,1,100,72,33,76
Great News,2,73,67,13,92
Stolberg,1,23,38,26,19
Happy,1,757,94,35,80
Happy,2,207,84,8,88
Swords,1,64,86,14,21
Kids vs Fear,1,21,79,8,75
María Sol,1,204,77,30,90
The Affair Show,1,1127,89,51,90
The Affair Show,2,379,89,23,90
The Affair Show,3,215,75,21,71
The Affair Show,4,195,82,23,91
The Affair Show,5,85,69,16,88
Cacao,1,95,84,5,80
Markham,1,132,83,15,73
Fakers,2,36,85,7,86
Fakers,3,61,98,9,100
Fakers,4,14,80,8,88
Strange Adventures,1,90,93,12,83
Comedy Inc.,1,92,76,15,40
Passage,1,372,85,26,62
Lexi & Lottie: Trusty Twin Detectives,1,83,96,9,100
Gullage's,4,44,82,17,88
The Grind,1,628,81,58,93
Alice & Charlie,1,25,65,6,33
Catherine,1,85,32,40,68
Flipped Off,1,8,50,24,71
Kennedy Live,1,704,92,48,71
Ariana Rose,1,245,87,26,27
The Julies,1,350,99,24,92
Laredo,1,66,86,18,39
Akademiya,1,92,89,9,100
Akademiya,3,62,97,9,100
Akademiya,4,46,80,5,100
Casa natal,1,12152,96,90,97
Casa natal,2,6251,90,148,94
Casa natal,3,5885,87,136,89
Kim,1,88,93,12,100
The Boom Crew,1,17,78,7,71
Stop & Go,1,16,69,14,64
Abigail and Roger,1,709,78,74,68
Abigail and Roger,2,222,72,6,83
Achar!,1,18,50,10,50
Achar!,4,10,75,6,100
Abby,1,44,45,19,68
Maids,1,57,75,29,72
Milat,1,119,71,46,9
Torrent,1,37,63,25,44
Ganika,1,30,58,7,100
Unmakeable,1,139,84,17,41
Unmakeable,2,47,88,5,80
Flock,1,13,82,32,84
Flock,2,10,80,8,38
Flock,3,9,62,8,38
Flock,4,8,62,8,100
Flock,5,8,62,17,47
Cnex,1,16,69,14,64
Waters,1,219,82,23,74
The Curtain,1,14,86,12,42
Stalked,1,268,81,49,20
The Adventures of McGraw,1,189,82,22,55
The Adventures of McGraw,3,110,90,7,86
The Adventures of McGraw,4,115,86,6,100
The Adventures of McGraw,5,26,96,10,100
Reborn,1,359,57,50,42
Lucky Days,1,190,82,19,37
Infested!,1,37,41,12,25
Unfriended,1,345,87,29,59
Aventura,1,6,67,11,91
Animals,1,141,88,19,68
Animals,2,32,81,5,100
Suika,1,11,55,19,68
Catch,1,278,81,90,84
Platonic,1,10,90,8,38
The Vise,1,591,95,49,96
Biggleton,1,25,82,8,38
Bloopers,1,200,70,21,57
Bloopers,2,60,64,7,57
In-Between,1,88,97,9,67
Cage & Goldblum: Roomies,1,148,64,72,90
Cage & Goldblum: Roomies,2,1156,68,62,85
Graves,1,28,85,10,50
Wild Seed,1,1750,90,26,69
Wild Seed,2,1219,98,22,100
Wild Seed,3,1545,96,31,100
Wild Seed,4,980,98,35,97
Wild Seed,5,1013,94,47,98
Wild Seed,6,657,95,52,96
Brond,1,237,80,14,71
Fearless,1,33,94,15,73
The Nick,1,120,60,25,100
Lazy Me,1,223,78,37,95
Lazy Me,2,26,76,16,100
Gertie & Dolly,1,217,67,46,98
Roshni,1,146,98,20,90
Roshni,2,93,97,8,100
Grey,1,8,83,6,67
Project: Girl,1,196,84,18,67
Dogma,1,43,49,5,100
Hustle,1,16,100,10,80
Finney,1,47,83,14,64
Decisiones,1,30,88,11,64
Decisiones,3,18,91,5,80
Frontera,1,299,78,22,50
Frontera,2,90,86,5,100
Saleem,1,266,78,31,48
Saleem,2,142,89,6,100
Saleem,3,36,68,5,100
Fall River,1,40,97,7,100
The Villa,1,22,86,14,36
Star's Lover,1,434,42,40,65
Spektrum,1,21,90,11,100
Liars,1,176,86,11,100
Soph,1,777,85,67,87
Random,1,58,59,25,100
Beugró,1,37,92,33,73
Shades,1,148,69,42,57
Rove Live,1,887,86,46,87
Rove Live,2,239,85,27,96
Rove Live,3,159,87,11,100
Mandy's Life,1,23,95,16,69
Mandy's Life,2,15,93,6,100
Souls,1,13,54,12,67
Aliah,1,1173,88,80,99
Türkan,1,122,84,15,100
The Unboxing,1,76,76,76,75
Club MTV,1,16,38,15,27
The Dark Room,1,1544,93,104,61
Giggle and Hoot,1,86,50,14,14
The Villain,1,58,86,39,64
Chasing Life,1,93,88,16,75
BARREN,1,30,55,20,50
The Mackinnons,1,37,100,10,60
Cups,1,1101,52,52,67
La Calle,1,76,95,12,42
Magdalena,1,37,57,8,100
Oi,1,75,39,48,63
Mandala,1,7623,93,35,93
Mandala,2,271,92,67,90
Whew!,1,16,75,20,75
Carmiña,1,59,93,29,72
Carmiña,2,29,91,12,100
Carmiña,3,24,89,9,89
Evangeline,1,63,86,29,100
Nice Work,1,214,27,21,38
Freak Out,1,56,70,29,90
Desus & Mero,1,18,73,11,100
Bait Car,1,74,79,19,74
家，N次方,1,380,93,80,90
Marisela,1,1531,96,82,94
Marisela,2,446,92,71,92
Marisela,3,398,75,50,82
Marielena,1,4856,95,46,100
Marielena,2,354,91,28,89
Carol,1,21,86,6,100
Heathens,1,210,55,21,29
Chashman,1,141,90,30,93
Impact,1,110,91,18,33
Circus,1,39,62,12,75
Sailor,1,5,80,9,78
Finding Kate,1,103,85,8,88
Modernlove,1,171,85,63,75
Life and Times,1,13,92,13,69
T.I. & Tiny: Friends & Family Hustle,1,58,78,20,95
Max,1,144,100,10,80
Grown,1,370,62,38,95
Crystal Blue,1,19,59,13,31
Mimi,1,88,83,6,50
The End.,1,4032,91,52,96
The End.,2,574,89,35,91
TurnOver,1,170,89,27,30
Friends & Lovers,1,157,90,20,65
Friends & Lovers,5,433,96,6,100
Friends & Lovers,6,423,96,6,100
Friends & Lovers,8,419,96,7,100
Friends & Lovers,9,448,88,5,20
Friends & Lovers,10,663,95,22,86
Barris & Company,1,302,75,24,46
Kin,1,457,97,14,93
Kin,2,158,94,7,100
CockTales,1,30,93,11,100
Crosswind,1,64,86,14,21
Gênesis,1,63,86,29,100
Prime Time,1,8,71,5,100
Prime Time,3,5,60,6,100
Prime Time,6,5,60,7,100
Prime Time,7,7,67,23,100
Silver Mask,1,2050,75,95,38
Candela,1,67,61,28,64
Blink,1,510,74,63,68
Blink,2,158,78,6,100
Hot Docs,1,49,63,8,100
Mega Match,1,284,88,35,83
You Deserve It,1,1906,80,59,93
You Deserve It,2,1158,83,41,88
On the Pole,1,39,62,12,75
Star,1,2552,56,66,86
Rajani,1,239,84,16,25
Golden Cross,1,13,57,5,40
Genesis,1,63,86,29,100
Backstory,1,400,85,42,36
Gabby & Debby,1,138,95,17,59
Gabby & Debby,4,145,45,8,50
The Final Table,1,76,61,8,38
Cobre,1,4856,95,46,100
Cobre,2,354,91,28,89
Geniy,1,262,91,30,83
Geniy,2,127,24,23,57
Trust,1,172,78,60,78
Arcadia,1,21,72,6,100
3,1,29,79,20,85
Rounin,1,1198,93,31,100
Rounin,2,828,93,42,93
Rounin,3,893,83,40,80
Rounin,4,925,90,46,81
Rounin,5,666,85,27,88
Rounin,6,472,76,28,78
Rounin,7,306,76,20,80
Rounin,8,219,87,26,85
Taryn & Sharon,1,1035,94,77,88
Land Róber,1,777,88,35,80
Land Róber,2,523,89,6,100
Land Róber,3,651,85,7,86
Land Róber,4,762,81,13,62
Land Róber,5,494,76,12,100
Land Róber,6,231,78,9,89
Land Róber,7,355,48,7,43
Dark Lies,1,8,50,8,88
Fake News,1,393,83,14,100
Fake News,2,239,90,12,92
Homes & Lifestyles Canada,1,128,88,30,80
Oranges & Lemons,1,2056,92,56,95
Oranges & Lemons,2,1952,92,53,96
Oranges & Lemons,3,1268,79,64,95
Oranges & Lemons,4,1089,87,52,94
Oranges & Lemons,5,630,72,49,71
Oranges & Lemons,6,341,74,37,84
Oranges & Lemons,7,278,74,40,98
Grown & Sexy,1,370,62,38,95
Trackers,1,11,55,7,86
Whatever,1,60,62,9,33
Jammin',1,127,86,16,69
Young & Reckless,1,57,70,12,58
Pete's PA,1,5,100,7,100
The Collectors,1,63,65,11,36
24 Hour Catwalk,1,272,94,20,95
24 Hour Catwalk,2,205,90,17,94
24 Hour Catwalk,3,172,88,14,93
24 Hour Catwalk,4,159,89,20,95
24 Hour Catwalk,5,153,91,22,100
24 Hour Catwalk,6,142,69,31,74
24 Hour Catwalk,7,140,82,33,76
24 Hour Catwalk,8,167,82,40,75
Hamptons Heat,1,566,92,28,100
Drugie,1,779,84,37,19
Channel,1,340,80,21,86
Presence,1,11,91,6,100
Our Time,1,243,49,25,32
Maddalena,1,811,76,126,57
Hard Life,1,163,95,6,100
Hard Life,2,94,97,7,100
Hard Life,3,96,98,5,100
Hard Life,4,65,95,8,100
Z時代,1,343,88,33,76
Never Ever,1,756,89,52,96
Hood,1,14,25,5,100
Walhalla,1,60,78,6,83
Santiago,1,425,80,21,48
Love School,1,887,86,46,87
Love School,2,239,85,27,96
Love School,3,159,87,11,100
Crazy Love,1,857,87,59,97
Crazy Love,2,309,88,22,100
Crazy Love,3,231,90,22,95
Crazy Love,4,221,67,23,100
What the ....!,1,679,95,70,94
What the ....!,2,434,93,30,100
Vendetta,1,93,80,5,80
Law & Order: Criminal Mind,1,58,86,39,64
Queens of Kings,1,12,75,13,38
Queens of Kings,9,10,70,14,86
2 Dope Queens,1,34,54,17,94
Brit Girls,1,348,75,39,36
Vows,1,57,58,23,83
Giga Games,1,67,95,43,84
Macao,1,48,98,10,40
ABC of...,1,33,72,20,25
Omsen & Momsen,1,261,91,31,94
Faith,1,26,65,15,100
Barsy,1,1258,89,81,98
Barsy,2,898,91,41,100
Blanca,1,211,88,6,100
Blanca,3,27,85,6,67
Hood Street,1,5,80,7,86
Blood Brothers,1,64,67,10,40
"Life, After",1,963,93,45,73
"Life, After",2,342,85,29,76
Berman & Berman,1,29,89,13,100
WaWa,1,11,75,11,100
Weapon&Soul,1,416,91,42,67
Weapon&Soul,2,164,93,5,100
Weapon&Soul,3,421,44,5,100
Futura,1,180,95,18,89
Futura,5,108,93,7,100
Futura,6,111,93,16,100
Futura,7,7,86,12,92
Back in the Game,1,48,69,20,100
Schoooled,1,29,74,11,73
Four Friends,1,11,82,7,86
Dark Horse,1,55,81,38,76
Dark Horse,2,49,81,6,83
Matchmaker,1,24,54,16,63
Koreana,1,277,83,24,71
The Warehouse,1,257,88,10,50
Anzhelika,1,483,78,38,89
She's Gotta Have It,1,207,74,61,85
She's Gotta Have It,2,12,42,10,70
Crime Secrets,1,205,76,34,35
Quinta & Jermaine,1,9,33,5,100
Garfunkel and Oates,1,137,92,8,100
Tabús,1,16,69,15,100
Strong Men,1,35,34,9,67
The Heist,1,8,100,5,60
The High School,1,230,80,32,75
In the Shadows,1,679,95,70,94
In the Shadows,2,434,93,30,100
De kat,1,121,84,12,75
De kat,2,73,87,5,100
Continuarà...,1,170,78,14,86
Continuarà...,2,102,91,5,80
Continuarà...,3,232,90,7,100
Continuarà...,4,68,85,8,88
Alejandra,1,1214,91,25,80
Alejandra,2,433,90,13,100
Alejandra,3,281,83,16,100
Katie & Peter,1,66,87,7,100
Attack,1,210,97,6,83
Attack,2,184,96,7,100
Attack,3,175,94,6,100
The RAs,1,77,91,7,86
Reunited,1,18,33,5,40
Bar,1,80,92,11,55
(S)truth,1,7,86,15,93
Neko Taxi,1,253,59,26,54
Prime Suspect,1,24,69,16,50
Arena,1,364,86,23,52
Arena,2,244,88,11,82
Arena,3,262,86,13,69
The Messenger,1,137,69,19,47
Madness,1,803,84,98,86
Blunt Talk,1,131,88,35,54
Che,1,182,93,23,96
Math Patrol,1,1627,80,51,96
Math Patrol,2,147,69,25,96
One,1,173,89,57,74
Awkwardly,1,104,83,22,95
Awkwardly,2,59,85,9,100
Awkwardly,3,96,74,7,86
Awkwardly,4,81,75,5,60
Awkwardly,5,65,73,6,50
Bama-Q,1,38,84,5,80
Samara,1,124,59,53,79
BoS,1,380,91,30,83
BoS,2,192,97,14,100
BoS,3,153,96,10,100
BoS,4,147,98,10,100
BoS,5,111,94,6,100
BoS,6,29,79,10,100
Brida,1,84,89,28,79
The Spill,1,10,62,7,57
Team Epic,1,375,83,52,67
Whittle,1,2117,85,89,92
Whittle,2,348,64,27,60
The Dark One,1,113,73,46,96
Suck and Moan,1,395,84,45,91
Fled,1,63,65,11,36
The One,1,646,34,12,8
Life and Deaf,1,607,97,44,95
The Yard,1,525,90,63,90
The Yard,2,205,96,11,100
Love Midori,1,887,86,46,87
Love Midori,2,239,85,27,96
Love Midori,3,159,87,11,100
May & Mar,1,287,72,75,97
Tracks,1,11,55,7,86
The Residents,1,480,87,22,59
Rapture,1,17,78,6,83
Dr. Death,1,5,40,27,22
Sous écoute,1,641,91,24,88
Sous écoute,2,451,95,15,93
Sous écoute,3,424,89,20,90
Sous écoute,4,394,93,24,100
Sous écoute,5,362,91,23,83
Sous écoute,6,499,90,25,76
Sous écoute,7,591,86,6,83
Soya,1,204,77,30,90
Survivors,1,77,72,15,93
Survivors,2,17,82,8,100
Survivors,3,41,74,8,100
American Rebel,1,62,67,28,100
Andro Melos,1,1687,94,57,89
Andro Melos,2,951,96,17,100
Andro Melos,3,749,96,14,93
Andro Melos,4,588,96,13,100
Andro Melos,5,597,94,14,100
Andro Melos,6,1212,89,27,100
Andro Melos,7,215,91,9,89
Bex & Blanche,1,571,68,42,52
Bex & Blanche,2,338,77,12,92
Bex & Blanche,3,138,36,5,40
The Chair,1,25,94,15,100
Inspector America,1,194,72,74,86
The Endz,1,4032,91,52,96
The Endz,2,574,89,35,91
Spot,1,112,94,7,100
Scobel,1,436,91,17,59
Little Apple,1,46,83,29,76
Fempire,1,667,79,50,83
Fempire,2,386,69,36,87
Fempire,3,85,52,32,87
Fempire,4,117,40,6,83
Fempire,5,68,36,6,83
