Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
BoJack Horseman,2,1219,98,22,100
BoJack Horseman,3,1545,96,31,100
BoJack Horseman,4,980,98,35,97
BoJack Horseman,5,1013,94,47,98
BoJack Horseman,6,657,95,52,96
The Undoing,1,75,76,76,75
Fargo,1,4217,97,60,97
Fargo,2,3114,95,60,100
Fargo,3,1374,88,65,93
Fargo,4,267,54,46,78
Supernatural,1,875,88,31,87
Supernatural,2,638,93,6,100
Supernatural,3,629,95,8,88
Supernatural,4,587,94,8,100
Supernatural,5,586,94,10,90
Supernatural,6,548,80,6,100
Supernatural,7,547,77,5,100
Supernatural,8,570,78,9,67
Supernatural,9,790,84,12,100
Supernatural,10,1091,88,8,100
Supernatural,11,660,81,10,90
Supernatural,12,606,77,10,100
Supernatural,13,546,78,7,100
Supernatural,14,372,77,11,82
Supernatural,15,194,76,5,100
The Crown,1,1856,94,72,88
The Crown,2,711,95,83,89
The Crown,3,472,81,100,90
Star Trek: Discovery,1,8604,50,72,82
Star Trek: Discovery,2,2644,36,30,81
Star Trek: Discovery,3,199,54,29,93
The Walking Dead,1,214,27,21,38
Ratched,1,529,68,90,61
Stranger Things,1,12152,96,90,97
Stranger Things,2,6251,90,148,94
Stranger Things,3,5885,87,136,89
Lucifer,1,2397,82,43,49
Lucifer,2,1354,80,9,100
Lucifer,3,1420,78,7,100
Lucifer,4,852,86,8,100
Lucifer,5,461,81,21,81
Peaky Blinders,1,1617,96,15,87
Peaky Blinders,2,1164,97,7,100
Peaky Blinders,3,810,95,7,100
Peaky Blinders,4,741,96,28,93
Peaky Blinders,5,516,88,27,85
The 100,1,1805,76,37,76
The 100,2,1925,86,11,100
The 100,3,2468,58,12,83
The 100,4,1899,79,14,93
The 100,5,1012,76,13,100
The 100,6,441,74,10,100
The 100,7,248,51,8,100
Vikings,1,1319,90,33,82
Vikings,2,1076,96,14,93
Vikings,3,1115,95,11,100
Vikings,4,1256,90,12,92
