Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2017,The Mindy Project,6,47,52,11,91
2015,Ballers,1,742,79,47,81
2016,Ballers,2,225,86,10,70
2017,Ballers,3,169,86,6,67
2014,Red Oaks,1,208,87,39,79
2016,Red Oaks,2,58,94,10,100
2017,Red Oaks,3,38,100,9,100
2010,Blue Mountain State,1,17,82,8,13
2015,Crazy Ex-Girlfriend,1,857,87,59,97
2016,Crazy Ex-Girlfriend,2,309,88,22,100
2017,Crazy Ex-Girlfriend,3,231,90,22,95
2018,Crazy Ex-Girlfriend,4,221,67,23,100
2018,Derry Girls,1,193,95,24,100
2019,Derry Girls,2,122,97,30,97
2020,Zoey's Extraordinary Playlist,1,343,88,33,76
2018,A.P. Bio,1,261,72,32,66
2019,A.P. Bio,2,49,94,5,100
2020,A.P. Bio,3,21,95,5,100
2017,Workin' Moms,1,74,68,12,75
2011,Workaholics,1,113,85,8,75
2012,Workaholics,3,72,83,9,89
2014,Workaholics,4,106,91,6,83
2017,Workaholics,7,14,27,5,100
2020,Maxxx,1,144,100,10,80
2019,Wu Assassins,1,591,82,23,83
2015,The Frankenstein Chronicles,1,151,89,9,78
2019,Living with Yourself,1,487,83,74,81
2018,Impulse,1,314,89,9,100
1978,Blake's 7,1,8,100,6,100
2012,Touch,1,61,63,28,57
2012,Touch,2,42,67,5,80
2018,B: The Beginning,1,62,79,6,50
2019,Jinn,1,13,62,6,83
2019,Typewriter,1,13,77,6,67
1991,Ren & Stimpy 'Adult Party Cartoon',1,22,91,12,100
2019,Afterlife,1,963,93,45,73
2020,Afterlife,2,343,85,29,76
1997,Shiki,1,43,57,12,42
2010,The Great British Baking Show,5,23,90,12,100
2013,The Great British Baking Show,7,6,100,16,94
2020,The Great British Baking Show,10,10,70,13,54
2017,Taken,1,143,68,28,32
2017,Six,1,166,87,13,62
2020,Most Dangerous Game,1,30,70,27,59
2018,Fist Master,1,108,66,18,50
2018,Splitting Up Together,1,145,88,21,38
2020,On the Spectrum,1,21,90,11,100
2020,Woke,1,81,60,41,76
2010,Marimar,1,17,82,8,13
2004,Moon Ghost,1,19,100,12,67
2018,XEEP,1,84,79,11,55
2020,Splitters,1,79,80,43,100
2018,American Princess,1,15,100,7,71
2015,Telenovela,1,67,61,28,64
2005,The Staircase,1,303,84,31,94
1992,The Lair,1,8,100,20,100
2018,Deception,1,305,93,11,64
2017,Gypsy,1,22,95,42,40
1987,Star Dates,1,240,67,14,79
1988,Star Dates,2,189,77,6,50
1989,Star Dates,3,181,95,8,100
1990,Star Dates,4,46,100,6,100
1991,Star Dates,5,163,96,6,100
1992,Star Dates,6,161,95,5,100
1993,Star Dates,7,187,93,10,100
2018,Wander,1,106,72,41,71
2017,Jeff & Ravi Fail History,1,36,84,6,100
2009,Flashforward,1,81,77,35,80
2018,The King of Orax,1,4032,91,52,96
2019,The King of Orax,2,574,89,35,91
2018,Forever Mapa,1,337,79,36,94
2018,The Creatrix,1,150,90,10,100
1993,Linnea & Lacey: Millennial Witches,1,14,71,10,100
2020,Leny&Beny (Proof of Concept),1,215,99,15,100
2015,Weird,1,37,63,25,44
2020,The Ledger,1,465,89,27,93
2020,Brood,1,38,84,5,80
2014,Polo,1,2483,93,45,33
2016,Polo,2,764,94,6,100
2014,Outlands,1,2626,93,52,91
2016,Outlands,2,1649,92,25,92
2017,Outlands,3,679,93,15,93
2018,Outlands,4,465,83,10,88
2020,Outlands,5,199,88,5,95
2017,Last Mile,1,36,96,22,64
2013,Monstresses,1,29,41,20,35
2017,Era,1,63,94,5,100
2017,Blacklist,1,54,60,5,60
2006,Lucky Louie,1,9,75,20,45
2019,Brass,1,5,100,6,100
2020,Cooked with Cannabis,1,7,71,5,80
2017,Bill & Ted's Excellent Adventures,1,504,27,12,75
2018,Carrusel,1,110,72,39,92
2016,Nöbet,1,56,56,12,100
2017,Good Doctor,1,2153,88,43,63
2017,Pao,1,922,87,87,79
2015,Verda,1,244,89,14,71
2018,Verda,3,60,75,9,44
2020,Seeker,1,40,88,32,78
2017,Blue Mars,1,4116,92,45,89
2019,Blue Mars,2,2747,97,29,100
2020,Blue Mars,3,2452,95,29,97
2004,Dhalgren,1,20,95,8,88
2009,Earthbound,1,134,91,20,65
2010,Earthbound,2,94,91,6,100
2012,Earthbound,3,86,90,8,100
2013,Earthbound,4,147,93,17,100
2018,Mechs,1,347,78,10,80
2019,Luna,1,118,88,10,10
2017,Mr. Kill,1,605,91,29,83
2018,Mr. Kill,2,109,73,10,100
2015,Deru Debu,1,367,90,19,84
2017,Deru Debu,2,178,95,9,89
2016,Nick Fast,1,1411,62,36,65
2016,Nick Fast,2,605,76,10,88
2017,Nick Fast,3,588,69,8,88
2018,Nick Fast,4,371,70,5,98
2020,Nick Fast,5,133,71,13,99
2017,Savci,1,120,94,12,92
2017,Legio,1,3382,87,90,90
2018,Legio,2,1007,77,37,91
2019,Legio,3,252,90,27,93
2010,Warlands,2,36,85,7,86
2012,Warlands,3,61,98,9,100
2016,Warlands,4,14,80,8,88
2020,The Wright Stuff,1,43,79,29,55
2016,Doktor Animo,1,53,71,6,100
1997,Darna!,1,12,80,18,94
2019,Sola,1,204,77,30,90
2020,Drama Queen,1,37,68,11,91
2018,Maze,1,218,85,67,57
2020,Shin Chan,1,43,49,5,100
2019,Emmy & GooRoo,1,3976,85,88,75
2020,Emmy & GooRoo,2,1471,89,83,90
1991,DinoZaurs,1,7,86,15,93
2017,Superzoo,1,79,57,21,62
2012,Hopla,1,232,90,15,60
2013,Hopla,2,143,86,7,71
2020,Jade Fever,1,441,57,77,78
2020,Ultimate Tag,1,9,11,6,67
2015,Bloodlines,1,962,90,48,81
2016,Bloodlines,2,555,83,19,53
2017,Bloodlines,3,329,55,17,53
1999,Spider-Man Unlimited,1,17,75,6,50
2016,Juda,1,66,86,18,39
2015,Alliance,1,130,88,32,47
2016,Overtown,1,360,53,11,82
2018,Instynkt,1,166,66,26,54
2017,The Pop,1,922,87,87,79
2019,The Glob,1,7,57,7,43
2018,The Unresolved,1,115,69,26,73
2013,Twisted,1,45,82,11,73
2019,Harley Quinn & The Joker VS The Real World,1,470,86,32,88
2020,Harley Quinn & The Joker VS The Real World,2,95,89,17,100
2019,Trigger Warning with Killer Mike,1,55,70,8,88
2019,What If?,1,59,64,33,42
2017,Dead of Night,1,19,71,6,100
2020,O',1,173,89,57,74
2015,Wicked!,1,61,67,45,18
2018,Succession War,1,260,83,82,88
2019,Succession War,2,423,91,70,97
2020,Ruby Ring,1,232,50,21,57
1975,Date Night Live,1,15,86,8,88
2015,Sales Girl,1,138,89,46,59
2016,Sales Girl,2,76,89,8,63
2002,Icarus,1,23,59,20,80
2006,Icarus,5,9,67,5,80
2008,Icarus,7,9,67,5,40
2017,PMax,1,60,64,33,24
2017,Prisme,1,24,69,16,50
2018,Camille Leon,1,15,87,14,100
2019,It's Bruno!,1,88,94,5,100
2020,Making the Cut,1,37,46,18,67
2014,Domina,1,244,79,27,48
2015,Domina,2,147,93,5,100
2014,Band of Gold,1,158,79,23,30
1983,The Master,1,16,73,7,100
2019,Rhythm + Flow,1,58,78,20,95
2017,Emara,1,417,78,42,38
2016,Homeless,1,827,87,41,83
2018,Homeless,2,682,95,14,100
2018,Aéreas,1,13,80,9,100
2019,History House,1,26,65,13,46
1993,Sleeves,1,57,96,15,87
1994,Sleeves,2,34,97,8,88
1995,Sleeves,3,29,97,5,100
1997,Sleeves,5,27,96,5,100
1998,Sleeves,6,26,96,6,83
2003,Sleeves,11,34,94,7,100
2020,Killer/ME,1,170,84,13,77
1990,Exposure,1,12,60,6,100
2017,Hard Apple,1,18,89,12,92
2020,Flip,1,8,50,24,71
2015,Space Cases,1,239,89,13,85
2018,Bare Fitness,1,257,88,25,92
2019,Bare Fitness,2,47,62,6,100
2019,Cannon Busters,1,52,67,8,100
2019,Christine,1,5,80,12,75
2017,Emerald Cove,1,417,78,42,38
2015,Rosewood,1,119,71,46,9
2019,Aoi tori,1,130,88,22,100
2018,The Branch,1,31,71,5,100
2020,Amen,1,10,60,16,81
2018,Kai3,1,4856,95,46,100
2019,Kai3,2,354,91,28,89
2017,Clique,1,15,77,8,100
2016,Love & Lies,1,887,86,46,87
2017,Love & Lies,2,239,85,27,96
2018,Love & Lies,3,159,87,11,100
2016,Stringin',1,8,100,7,71
2015,The Fallen Family,1,127,88,33,61
2013,Dads,1,155,53,38,0
2018,Simona,1,108,66,18,50
2020,The CI,1,109,71,16,81
2012,Laberinto,1,23,42,11,64
2018,Saskia,1,80,52,30,90
2008,Determinator,1,90,86,34,76
2008,Determinator,2,99,88,16,94
2020,Spin,1,436,91,17,59
2018,Bali,1,19,59,13,31
2020,Links 2,1,43,63,12,67
2020,Inue,1,10,80,27,48
2020,Genie,1,114,78,23,91
2019,Tracker,1,11,55,7,86
2018,Success,1,260,83,82,88
2019,Success,2,423,91,70,97
2017,The Mayor,1,163,59,31,81
2018,Random Acts,1,58,59,25,100
2015,Fear Me,1,112,94,7,100
2017,Detective John,1,106,84,6,50
2017,Villains,1,58,86,39,64
2014,The Seven,1,107,79,8,75
2019,Odisea,1,20,75,8,50
2020,High & Dry,1,213,79,71,86
2010,Paare,1,80,90,30,63
2010,Paare,2,56,96,10,90
2011,Paare,3,46,98,13,100
2012,Paare,4,45,95,21,90
2013,Paare,5,94,97,12,92
2014,Paare,6,74,97,19,95
2012,Lobo,1,170,78,14,86
2013,Lobo,2,102,91,5,80
2014,Lobo,3,232,90,7,100
2015,Lobo,4,68,85,8,88
2018,Heer & Meester,1,223,84,50,24
2018,T.R.A.D.E,1,25,80,11,91
2004,Drawn & Recorded,1,10,90,8,38
2018,Boemerang,1,38,70,12,100
2016,Living the Dream,1,34,85,12,83
2019,Songland,1,28,89,7,57
2005,D.Gray-man,1,134,86,13,46
2016,Lopez,1,15,80,11,73
2013,The Awesomes,1,15,54,15,67
2019,Encounter,1,78,40,5,40
2019,Type,1,13,77,6,67
2011,Mirror,1,2531,93,16,98
2013,Mirror,2,1508,93,9,87
2014,Mirror,3,2291,93,65,86
2017,Mirror,4,1848,83,96,85
2019,Mirror,5,298,46,39,68
1999,Faros,1,43,93,12,100
2000,Faros,2,35,97,9,100
2001,Faros,3,30,100,5,80
2002,Faros,4,28,93,6,83
2018,Little Girl,1,272,77,67,95
2016,"Maria, Maria",1,27,53,9,44
2017,The Hospital,1,11,86,5,80
2001,Undeclared,1,8,100,30,93
2018,Bloomers,1,38,70,12,100
2017,Süper Baba,1,95,65,8,63
2018,Süper Baba,4,10,56,6,100
2018,Süper Baba,5,17,67,11,100
2019,The Sketch Show,1,35,86,8,100
2018,Purge,1,271,63,38,42
2019,The Red,1,25,72,18,72
2003,G Code,1,8,80,13,85
2004,G Code,2,5,100,11,100
2019,Riddles,1,41,78,22,100
2013,Kémeri,1,1317,93,54,87
2014,Kémeri,2,891,96,38,97
2015,Kémeri,3,966,94,53,100
2016,Kémeri,4,819,93,48,99
2017,Kémeri,5,562,90,42,94
2018,Kémeri,6,460,92,35,99
2018,Deceit,1,305,93,11,64
2019,Medinah,1,574,84,32,94
2015,The Art of More,1,15,67,20,30
2012,Car S.O.S.,1,27,88,10,90
2018,Car S.O.S.,10,21,67,8,63
2019,Car S.O.S.,11,15,60,6,100
2017,Ten Days in the Valley,1,78,74,22,55
2018,One Dollar,1,43,95,10,80
2020,MMXX,1,144,100,8,75
2019,Umbrella,1,3976,85,88,75
2020,Umbrella,2,1471,89,83,90
2020,Chaos Agents,1,10,60,16,81
2017,Sweet Anne,1,19,46,15,60
2017,Game Gurl,1,149,91,39,97
2019,Demos,1,88,89,6,100
2013,Viking,1,1319,90,33,82
2014,Viking,2,1076,96,14,93
2015,Viking,3,1115,95,11,100
2016,Viking,4,1256,90,12,92
2017,Viking,5,941,83,11,91
2019,Viking,6,298,77,9,100
2017,Genis Aile,1,262,91,30,83
2018,Genis Aile,2,127,24,23,57
2019,Clone One,1,205,46,11,73
2004,Mambo,1,19,84,5,100
2018,World's End,1,4032,91,52,96
2019,World's End,2,574,89,35,91
2019,Taco Chronicles,1,17,94,6,100
2012,Dani's House,1,102,77,38,58
2013,Dani's House,2,51,89,6,67
2014,Dani's House,3,82,90,6,83
2016,Dani's House,5,29,76,5,100
2018,The Joel McHale Show with Joel McHale,1,72,72,6,83
2019,Look,1,162,93,36,92
2018,The Innocent Man,1,80,73,23,74
2018,Guidance,1,21,100,16,94
2011,Web Therapy,1,17,46,11,45
2016,The R Word,1,169,83,27,67
2020,Khimik,1,58,81,19,100
2019,Turf,1,174,90,41,54
2016,VALENCE,1,29,79,20,85
2015,Summer Days,1,866,80,55,93
2017,Summer Days,2,27,62,32,75
2020,Grande Mal,1,43,84,14,71
2017,Core,1,213,56,61,61
2020,2020 A.D.,1,43,63,12,67
2018,Rango,1,58,59,25,100
2019,Comedy Showcase,1,21,81,21,100
2016,Shook,1,310,79,17,47
2013,Beatless,1,22,91,7,86
2015,American King,1,732,85,47,94
2016,American King,2,377,93,38,95
2017,American King,3,303,87,31,100
2015,Dark Forrest,1,706,87,52,90
2015,Dark Forrest,2,103,95,11,100
2016,Dark Forrest,3,45,80,9,100
2017,Dark Forrest,4,55,70,7,86
2011,Interns,1,461,75,38,63
2012,Interns,2,382,77,11,100
2013,Interns,3,543,82,11,100
2014,Interns,4,565,81,12,100
2016,Interns,5,540,79,14,100
2019,The Killers Club,1,51,92,17,100
2011,Alphabus,1,27,68,33,73
2012,Alphabus,2,35,85,9,89
2018,Corps,1,72,88,15,87
2019,Corps,2,36,100,7,100
2020,Corps,3,5,80,6,100
2019,Daydream,1,742,66,33,70
2015,W/Bob and David,1,155,88,27,89
2013,Wilfred,3,91,92,14,86
2014,Wilfred,4,94,92,10,100
2015,William Tell,1,192,82,42,50
2018,The Prince,1,3191,73,24,100
2019,The Prince,2,309,90,13,85
2019,The Prince,3,185,90,9,100
2019,The Prince,4,209,94,11,100
2020,The Prince,5,150,93,13,100
2012,The Paradise,1,71,81,14,64
2013,The Paradise,2,53,84,8,88
2017,The Beagles,1,11,86,5,80
2016,Dirk & Lewis: Super Detectives!,1,966,96,28,71
2017,Dirk & Lewis: Super Detectives!,2,546,93,12,100
2016,Fillin,1,86,81,19,26
2017,Stilet,1,60,50,19,63
2020,Kats & Co,1,79,78,22,91
2017,Shalva,1,425,80,21,48
2017,Diva,1,24,95,9,56
2020,Love.Life,1,130,82,47,64
2018,The C.A.M.P.,1,583,65,60,88
2013,Black News,1,2056,92,56,95
2014,Black News,2,1952,92,53,96
2015,Black News,3,1268,79,64,95
2016,Black News,4,1089,87,52,94
2017,Black News,5,630,72,49,71
2018,Black News,6,341,74,37,84
2019,Black News,7,278,74,40,98
2020,Betty White's Off Their Rockers,1,82,59,27,96
2019,Amazonia,1,171,85,63,75
2020,Space,1,2050,75,95,38
2017,Rooms,1,284,48,39,87
2018,Rooms,2,24,76,9,89
2017,Bellevue,1,32,71,6,83
2016,Underground,1,253,93,30,93
2017,Underground,2,100,80,9,100
1993,Cross the Line,1,14,71,10,100
2016,Silencer,1,77,85,24,46
2018,Joseph & Lindsey,1,8,50,5,40
2018,Daniel's Vlog,1,257,88,25,92
2019,Daniel's Vlog,2,47,62,6,100
2005,Supernova,1,875,88,31,87
2006,Supernova,2,638,93,6,100
2007,Supernova,3,629,95,8,88
2008,Supernova,4,587,94,8,100
2009,Supernova,5,586,94,10,90
2010,Supernova,6,548,80,6,100
2011,Supernova,7,547,77,5,100
2012,Supernova,8,570,78,9,67
2013,Supernova,9,790,84,12,100
2014,Supernova,10,1091,88,8,100
2015,Supernova,11,660,81,10,90
2016,Supernova,12,606,77,10,100
2017,Supernova,13,546,78,7,100
2018,Supernova,14,372,77,11,82
2019,Supernova,15,194,76,5,100
2018,Aubrey,1,1275,73,54,89
2019,Aubrey,2,213,72,7,86
2020,Eddy and the Bear,1,60,78,6,83
2014,Lazy Lucy,1,211,74,51,24
2013,Dad'X,1,155,53,38,0
2013,C.L.Y.D.E.,1,69,46,32,59
2019,Upyri,1,9,100,5,80
2019,Within,1,169,81,14,43
2010,Bellísima,1,413,82,13,69
2011,Bellísima,2,215,87,5,80
2012,Bellísima,3,202,85,6,83
2013,Bellísima,4,266,89,8,100
2014,Bellísima,5,289,84,5,80
2015,Bellísima,6,213,75,5,80
2016,Bellísima,7,168,72,9,78
2018,The Flowers,1,67,87,6,83
2018,Lykke,1,677,62,33,82
2020,Crooked,1,7,71,5,80
2016,Felon,1,182,75,37,35
2014,Madame,1,375,83,52,67
2015,Doctor Foster,1,40,94,10,90
2017,Doctor Foster,2,54,61,16,81
2017,Annem,1,1239,91,29,83
2018,Annem,2,194,74,8,38
2012,Partners,1,8,86,35,17
2020,CR1S,1,64,86,14,21
2017,Ghosted,1,162,69,27,59
2016,Recovery Road,1,52,73,6,100
2017,The Quad,1,30,58,7,100
2014,Benched,1,290,75,16,69
2017,Dimensions,1,79,65,10,80
2017,Happy Town,1,757,94,35,80
2018,Happy Town,2,207,84,8,88
1955,Alfred Alfer,1,10,89,12,100
2018,Kamini,1,17,77,7,57
2015,Grindl,1,628,81,58,93
2017,Prospects,1,9,86,10,80
2019,Banyon,1,215,95,30,73
2016,Amma,1,220,65,18,61
2017,Feral,1,33,94,15,73
2018,City of War,1,13,62,6,100
2019,Sunnyside,1,29,59,14,36
2020,Hollywood Game Night,1,811,76,126,57
2016,Love & War,1,887,86,46,87
2017,Love & War,2,239,85,27,96
2018,Love & War,3,159,87,11,100
2019,Catherine the Great,1,85,32,40,68
2020,Crazy Delicious,1,28,75,12,50
2019,Betch,1,26,65,13,46
2020,Injected,1,37,41,12,25
2015,Dick Kelly,1,80,39,30,20
2018,Living Biblically,1,54,60,17,18
2020,Hilma,1,60,78,6,83
2016,Boss Man,1,8,100,6,100
2018,Boss Man,2,6,100,17,100
2016,Dagda,1,1038,71,25,44
2017,Dagda,2,565,91,7,86
2018,Dagda,3,561,93,6,100
2019,Drakul,1,1080,57,54,70
2014,Fla5h,1,5050,89,63,92
2015,Fla5h,2,2925,85,23,94
2016,Fla5h,3,1578,65,23,85
2017,Fla5h,4,1451,51,19,80
2018,Fla5h,5,949,58,11,94
2019,Fla5h,6,391,61,5,85
2018,The Hunt,1,21,21,10,20
2008,Terminal,1,90,86,34,76
2008,Terminal,2,99,88,16,94
2020,Mot,1,438,96,16,69
2000,Syndrome,1,14,50,8,38
2016,Zazá,1,1867,91,74,97
2018,Zazá,2,712,87,64,98
2014,Love Story,1,88,60,44,27
2015,Dr. Champ,1,132,48,44,7
2015,Lost Kings,1,2114,93,31,87
2017,Lost Kings,2,507,97,7,86
2018,Lost Kings,3,487,97,7,100
2017,Teresa,1,211,88,6,100
2018,Teresa,3,27,85,6,67
2020,The Haunting Of,1,993,62,92,88
2020,Deadwax,1,21,48,24,88
2006,Day Break,1,8,100,16,50
2020,Legend,1,50,76,21,90
2019,Encore!,1,22,91,20,70
2019,Coupable,1,18,83,9,100
2020,Mother,1,438,96,16,69
1996,Mille,1,5,100,6,67
2014,Genre Wars,1,625,94,33,82
2015,Genre Wars,2,535,91,34,97
2016,Genre Wars,3,378,85,29,100
2017,Genre Wars,4,151,86,15,100
2019,Genre Wars,5,83,84,13,100
2019,Marham,1,132,83,15,73
2015,Skáidi,1,667,79,50,83
2015,Skáidi,2,386,69,36,87
2016,Skáidi,3,85,52,32,87
2017,Skáidi,4,117,40,6,83
2018,Skáidi,5,68,36,6,83
2016,The Yearling,1,2294,78,66,77
2019,The Yearling,2,1343,89,36,92
2017,Oishinbo,1,19,71,6,100
1979,Buck & Buddy,1,6,80,15,33
2018,Manchali,1,138,61,20,75
2016,Merry Mary,1,105,78,22,73
2017,Beinteha,1,6026,90,78,67
2019,Beinteha,2,1756,71,35,60
2015,Pieces,1,169,77,40,60
2018,The House,1,67,87,6,83
2015,Marianela,1,95,84,5,80
2017,Dimensional,1,79,65,10,80
2019,Zendaman,1,1015,85,94,82
2020,We,1,11,82,9,44
2015,Highston,1,10,88,8,75
2016,Marty,1,92,77,13,38
1987,The Generation Game,1,240,67,14,79
1988,The Generation Game,2,189,77,6,50
1989,The Generation Game,3,181,95,8,100
1990,The Generation Game,4,46,100,6,100
1991,The Generation Game,5,163,96,6,100
1992,The Generation Game,6,161,95,5,100
1993,The Generation Game,7,187,93,10,100
2010,Magnus,2,36,85,7,86
2012,Magnus,3,61,98,9,100
2016,Magnus,4,14,80,8,88
2020,King Fun,1,86,50,14,14
2016,Sweet/Vicious,1,161,84,20,100
2018,City Hunter,1,625,23,24,71
2007,Damaged,1,87,92,24,83
2009,Damaged,2,42,86,21,90
2010,Damaged,3,34,93,18,100
2011,Damaged,4,35,93,11,100
2012,Damaged,5,56,93,13,85
2014,Ascension,1,338,72,32,66
2020,Woops!,1,37,57,8,100
2009,Alice,1,25,65,6,33
2018,Deep,1,84,79,11,55
1997,Janie,1,12,80,18,94
2020,B&B - Bella y bestia,1,80,92,11,55
2018,Kär,1,530,79,42,60
2019,Kär,2,84,82,14,100
2020,Lov3,1,362,94,45,93
2017,Moth & Whisper,1,1282,77,23,100
2018,Moth & Whisper,2,977,81,33,100
2019,Moth & Whisper,3,110,81,28,96
2014,Kovich & Himlan,1,103,85,8,88
2011,Crime Stop,1,21,85,20,95
2018,Blocks,1,870,96,22,95
2019,Blocks,2,129,85,9,100
2020,Blocks,3,78,91,10,90
2018,Reine,1,163,64,34,71
2020,Reine,2,41,88,20,90
2018,Pautina,1,120,82,5,100
2019,Crime Syndicated,1,111,72,29,31
1984,Tempus,1,8,50,10,90
2020,Adventure,1,6,67,11,91
2017,Luna Rush,1,240,69,27,48
2016,Sherwood,1,1038,71,25,44
2017,Sherwood,2,565,91,7,86
2018,Sherwood,3,561,93,6,100
2018,Random Acts of Flyness,1,58,59,25,100
2016,The Clone,1,182,75,37,35
2015,Whisper,1,241,70,35,71
2015,Sherm!,1,39,95,5,100
2020,Bosco Adventure,1,122,84,15,100
2018,Jerry Jackson,1,193,95,24,100
2019,Jerry Jackson,2,122,97,30,97
2018,Andreína,1,61,79,34,85
2014,Iliana,1,545,93,23,96
2015,Iliana,2,338,93,21,100
2016,Iliana,3,172,91,22,100
2017,Iliana,4,137,79,23,100
2019,Iliana,5,105,71,27,100
2020,Kiss Note,1,6,100,16,81
2018,Vida,1,470,75,39,100
2019,Vida,2,37,86,14,100
2020,Vida,3,23,74,10,100
2020,The Out,1,873,83,67,91
2020,Leyendas,1,50,76,21,90
2014,Jane,1,1349,87,51,100
2015,Jane,2,377,91,12,100
2016,Jane,3,218,88,14,100
2017,Jane,4,235,88,20,100
2019,Jane,5,218,71,22,100
2020,N E X,1,16,69,14,64
2016,Semper,1,175,96,9,100
2015,Raz,1,237,93,6,100
2018,Raz,2,65,97,6,100
2020,Raz,3,55,84,6,100
2019,Yali,1,88,89,6,100
2015,F@#K the Big Chiller,1,367,90,19,84
2017,F@#K the Big Chiller,2,178,95,9,89
2020,Wizards,1,83,96,9,100
2018,Indy,1,596,86,81,96
2019,Indy,2,165,89,39,97
2019,The Sock,1,381,78,36,86
2018,Solo,1,20,79,5,100
2016,Love & Money,1,887,86,46,87
2017,Love & Money,2,239,85,27,96
2018,Love & Money,3,159,87,11,100
2019,David,1,60,83,23,100
2019,DDCS,1,483,78,38,89
2016,The Characters,1,56,56,12,100
2020,Taste the Nation with Padma Lakshmi,1,16,69,15,100
1999,Drama Special,1,34,89,24,75
2005,Drama Special,7,19,100,6,67
2009,Drama Special,11,14,100,7,57
2010,Drama Special,12,14,100,5,100
2011,Drama Special,13,18,92,8,75
2012,Drama Special,14,17,93,5,60
2013,Drama Special,15,59,92,7,71
2014,Drama Special,16,40,81,9,78
2015,Drama Special,17,46,94,7,71
2016,Drama Special,18,20,82,6,100
2017,Drama Special,19,40,79,5,80
2018,Drama Special,20,31,71,7,100
2018,The City,1,9,71,9,78
2020,ATL,1,14,64,18,94
2020,Wildernuts,1,7,29,14,64
2020,Alix,1,51,90,17,82
2020,Line Romance,1,130,82,47,64
2018,Lee and Dean,1,223,84,50,24
2015,Sons & Daughters,1,102,70,12,58
2018,Reel Comedy,1,39,67,16,44
2018,Barvikha,1,1374,80,76,87
2019,Barvikha,2,217,79,35,89
2013,Dancing Angels,1,45,81,18,61
2020,Queen,1,37,68,11,91
1989,Sudya,1,6,67,10,70
2017,Dead Girl,1,348,75,39,36
2019,Couples Therapy,1,18,83,9,100
2019,Hyperdrive,1,57,93,9,100
2020,Pretenders,1,11,91,6,100
2013,Zenimation,1,35,34,9,67
2018,Boomers,1,38,70,12,100
2016,Chiller,1,233,63,5,80
2017,Chiller,2,22,73,5,60
2020,The Summerland,1,75,76,76,75
2020,MMXX,1,144,100,9,78
2020,Game Night,1,811,76,126,57
2020,Mansour,1,214,27,21,38
2019,Amazonas,1,171,85,63,75
2015,Slow Start,1,50,76,5,60
2015,Indian Summer,1,101,87,18,83
2016,Like Roses,1,13,100,6,100
2015,Sjans,1,78,48,19,37
2016,Shadow,1,1038,71,25,44
2017,Shadow,2,565,91,7,86
2018,Shadow,3,561,93,6,100
2019,Planetes,1,7,100,10,100
2020,Infected,1,37,41,12,25
2018,Alternatino with Arturo Castro,1,9,78,15,93
2018,The Wolf,1,244,60,16,81
2019,Wrat,1,679,95,70,94
2020,Wrat,2,434,93,30,100
2020,Sophie,1,79,80,43,100
2017,The Opposition with Jordan Klepper,1,24,83,8,75
2016,Shadowrunners,1,1038,71,25,44
2017,Shadowrunners,2,565,91,7,86
2018,Shadowrunners,3,561,93,6,100
2016,Shodh,1,9,56,10,100
2017,The Mystery,1,566,92,28,100
2018,The Trade,1,25,80,11,91
2020,Stokes,1,601,86,21,71
2012,Karlos,1,232,90,15,60
2013,Karlos,2,143,86,7,71
2020,Heidi,1,14,64,25,92
2015,Secrets and Lies,1,205,76,34,35
2020,The Cut,1,37,46,18,67
2019,Giant,1,7,57,7,43
2015,Wynn,1,2532,88,46,96
2016,Wynn,2,891,81,21,76
2015,Mark Datter,1,698,87,19,68
2016,Mark Datter,2,306,92,7,100
2017,Mark Datter,3,265,91,7,100
2015,Punch!,1,114,94,12,100
2020,The Owl,1,76,91,6,100
2020,Cartoon Family,1,16,88,20,85
1993,The Sonics,1,22,91,5,40
2019,Bassie & Adriaan,1,26,65,13,46
2017,Imaginary Mary,1,47,56,22,27
2020,Street Food,1,5,80,7,86
1997,Ally,1,13,82,32,84
1998,Ally,2,10,80,8,38
1999,Ally,3,9,62,8,38
2000,Ally,4,8,62,8,100
2001,Ally,5,8,62,17,47
2018,Princesses,1,3191,73,24,100
2019,Princesses,2,309,90,13,85
2019,Princesses,3,185,90,9,100
2019,Princesses,4,209,94,11,100
2020,Princesses,5,150,93,13,100
1998,Adventure Girls,1,27,88,7,100
2004,Adventure Girls,6,15,87,9,100
2015,The Executive,1,227,61,56,46
2020,Alibi,1,11,82,9,44
2017,The Connection,1,76,95,12,42
2020,Shatter,1,16,69,14,64
2001,Catwalk,1,272,94,20,95
2002,Catwalk,2,205,90,17,94
2003,Catwalk,3,172,88,14,93
2005,Catwalk,4,159,89,20,95
2006,Catwalk,5,153,91,22,100
2007,Catwalk,6,142,69,31,74
2009,Catwalk,7,140,82,33,76
2010,Catwalk,8,167,82,40,75
2016,Love Live!: School Idol Project,1,887,86,46,87
2017,Love Live!: School Idol Project,2,239,85,27,96
2018,Love Live!: School Idol Project,3,159,87,11,100
2016,Angie,1,423,73,38,89
2016,Angie,2,41,83,5,100
2017,Angie,3,31,81,5,100
2016,Dimitri,1,9,56,10,100
2018,Calimero,1,15,82,6,83
2018,Happy Together,1,90,76,19,53
2017,Mangalita,1,891,85,89,93
2018,Mangalita,2,563,82,37,99
2019,Mangalita,3,60,83,17,88
2020,Kat,1,79,78,22,91
