Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2018,The Marvelous Mrs. Maisel,2,446,92,71,92
2019,The Marvelous Mrs. Maisel,3,398,75,50,82
2015,Superstore,1,274,78,33,64
2016,Superstore,2,136,91,7,100
2017,Superstore,3,104,92,11,100
2018,Superstore,4,73,82,14,100
2019,Superstore,5,78,81,9,100
2009,Misfits,1,197,94,13,100
2010,Misfits,2,144,95,7,86
2011,Misfits,3,106,92,11,100
2012,Misfits,4,90,54,9,78
2013,Misfits,5,113,66,6,100
2006,Psych,1,163,85,22,55
2007,Psych,2,108,91,7,100
2008,Psych,3,94,92,7,100
2009,Psych,4,90,94,5,80
2010,Psych,5,90,98,7,100
2011,Psych,6,81,95,5,100
2013,Psych,7,101,90,10,90
2014,Psych,8,187,94,10,90
2019,Doom Patrol,1,1627,80,51,96
2020,Doom Patrol,2,147,69,25,96
2011,Bob's Burgers,1,271,82,41,73
2012,Bob's Burgers,2,196,90,8,100
2012,Bob's Burgers,3,192,92,8,88
2013,Bob's Burgers,4,252,90,9,89
2014,Bob's Burgers,5,222,92,12,100
2015,Bob's Burgers,6,154,93,10,100
2014,BoJack Horseman,1,1750,90,26,69
2015,BoJack Horseman,2,1219,98,22,100
2016,BoJack Horseman,3,1545,96,31,100
2017,BoJack Horseman,4,980,98,35,97
2018,BoJack Horseman,5,1013,94,47,98
2019,BoJack Horseman,6,657,95,52,96
2020,The Undoing,1,75,76,76,75
2014,Fargo,1,4217,97,60,97
2015,Fargo,2,3114,95,60,100
2017,Fargo,3,1374,88,65,93
2020,Fargo,4,267,54,46,78
2005,Supernatural,1,875,88,31,87
2006,Supernatural,2,638,93,6,100
2007,Supernatural,3,629,95,8,88
2008,Supernatural,4,587,94,8,100
2009,Supernatural,5,586,94,10,90
2010,Supernatural,6,548,80,6,100
2011,Supernatural,7,547,77,5,100
2012,Supernatural,8,570,78,9,67
2013,Supernatural,9,790,84,12,100
2014,Supernatural,10,1091,88,8,100
2015,Supernatural,11,660,81,10,90
2016,Supernatural,12,606,77,10,100
2017,Supernatural,13,546,78,7,100
2018,Supernatural,14,372,77,11,82
2019,Supernatural,15,194,76,5,100
